GFC_505nm_40X1p15NA_PCO_500usexp_160fps_3.tif
Frame,Dynamic Count,Static Count
1,7,7
2,10,9
3,10,7
4,10,7
5,11,8
6,11,7
7,11,7
8,14,9
9,14,8
10,15,8
11,15,7
12,15,7
13,17,7
14,17,7
15,18,7
16,20,7
17,20,7
18,20,7
19,20,6
20,22,7
21,22,6
22,23,7
23,24,7
24,25,8
25,25,7
26,26,6
27,27,7
28,27,6
29,27,5
30,27,4
31,29,6
32,29,4
33,29,4
34,30,5
35,31,6
36,32,7
37,32,5
38,33,6
39,33,5
40,33,5
41,33,5
42,34,4
43,36,5
44,37,6
45,38,5
46,38,4
47,40,6
48,40,4
49,41,4
50,43,5
51,43,5
52,44,6
53,46,6
54,48,6
55,48,6
56,48,4
57,51,6
58,51,5
59,51,4
60,53,4
61,53,3
62,56,4
63,58,6
64,58,5
65,59,6
66,61,6
67,61,5
68,61,3
69,63,4
70,64,4
71,66,4
72,67,5
73,67,3
74,70,5
75,70,4
76,74,6
77,74,3
78,75,4
79,79,6
80,80,5
81,80,4
82,82,4
83,83,4
84,86,7
85,87,5
86,88,4
87,89,4
88,89,3
89,90,3
90,92,4
91,92,3
92,94,5
93,94,3
94,95,3
95,96,3
96,96,2
97,96,2
98,98,3
99,98,2
100,99,3
